id,address_id,parking_type_name,latitude,longitude,box_number,status,created_at,updated_at,is_all_access,wow_id,name,legacy_address,installation_date,capacity_classic,capacity_cargo,limit_sub_number,code,active,mobib,is_group
232,,Box,50.867277,4.321153,,,2019-02-05T11:02:00Z,,false,,Sermon,"Av. Broustin x Av. Jaque Sermon, 1083 Ganshoren",2018-01-12T00:00:00Z,5,0,,GA10,true,false,false
233,,Box,50.873913,4.314015,,,2019-02-05T11:02:01Z,,false,,Gezelle,"Place Guido Gezelle x Drève de Rivieren, 1083 Ganshoren",2018-01-11T00:00:00Z,5,0,,GA09,true,false,false
234,,Box,50.872549,4.301683,,,2019-02-05T11:02:01Z,,false,,Hongrie,"Av. Marie de Hongrie x Mail, 1083 Ganshoren",2018-01-10T00:00:00Z,5,0,,GA08,true,false,false
235,,Box,50.87457,4.320382,,,2019-02-05T11:02:01Z,,false,,Fenaison,"Rue de la Fenaison x Rue Heideken, 1083 Ganshoren",2017-04-07T00:00:00Z,5,0,,GA07,true,false,false
236,,Box,50.868514,4.319315,,,2019-02-05T11:02:01Z,,false,,Riethuisen,"Av. Vital Riethuisen x Av. du Duc Jean, 1083 Ganshoren",2017-04-06T00:00:00Z,5,0,,GA06,true,false,false
237,,Box,50.876455,4.301872,,,2019-02-05T11:02:01Z,,false,,Vanderveken,"Rue Vanderveken 114, 1083 Ganshoren",2017-04-11T00:00:00Z,5,0,,GA05,true,false,false
238,,Box,50.870437,4.318285,,,2019-02-05T11:02:01Z,,false,,Duc Jean,"Av. du Duc Jean 100 x Rue Louis Delhove, 1083 Ganshoren",2017-04-06T00:00:00Z,5,0,,GA04,true,false,false
239,,Box,50.870447,4.311235,,,2019-02-05T11:02:01Z,,false,,Beeckmans,"Rue François Beeckmans 35, 1083 Ganshoren",2017-04-11T00:00:00Z,5,0,,GA03,true,false,false
240,,Box,50.867662,4.323551,,,2019-02-05T11:02:01Z,,false,,Constitution,"Av. de la Constitution x Av. Broustin, 1083 Ganshoren",2017-04-12T00:00:00Z,5,0,,GA02,true,false,false
190,,Box,50.87309,4.33106,,,2019-02-05T11:01:55Z,2019-02-05T14:55:33Z,false,35139,Keersmaeker,", 1090 Jette",2019-01-29T00:00:00Z,5,0,,JT37,false,true,false
191,,Box,50.86966,4.33284,,,2019-02-05T11:01:55Z,2019-02-05T14:55:33Z,false,35129,Longtin 2,", 1090 Jette",2019-01-22T00:00:00Z,5,0,,JT36,false,true,false
193,,Box,50.8812,4.32664,,,2019-02-05T11:01:55Z,2019-02-05T14:55:33Z,false,35103,Dupré,", 1090 Jette",2019-01-16T00:00:00Z,5,0,,JT34,false,true,false
197,,Box,50.87181,4.33659,,,2019-02-05T11:01:56Z,2019-02-05T14:55:33Z,false,28902,Vandervleet 2,"Rue Jacques Vandervleet x Avenue Odon Warland, 1090 Jette",2017-12-15T00:00:00Z,5,0,,JT30,true,true,false
199,,Box,50.87619,4.33024,,,2019-02-05T11:01:56Z,2019-02-05T14:55:33Z,false,28901,Lenoir,"Rue Ferdinand Lenoir x Bd de Smet de Naeyer, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT28,true,true,false
205,,Box,50.88444,4.33784,,,2019-02-05T11:01:57Z,2019-02-05T14:55:33Z,false,28900,Peret I,"Rue Léopold Peret x Bd de Smet de Naeyer, 1090 Jette",1970-01-01T00:00:00Z,5,0,,JT22,true,true,false
